GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ktlint Maven Plugin,com.github.gantsign.maven.plugin.ktlint.internal,KtlintReportGenerator.generatorReport.1.2.3.new Function1() {...},0,22,0,0,0,2,0,2,0,2
ktlint Maven Plugin,com.github.gantsign.maven.plugin.ktlint.internal,KtlintReportGenerator.generatorReport.1.2.3.new Function1() {...},0,21,0,0,0,2,0,2,0,2
ktlint Maven Plugin,com.github.gantsign.maven.plugin.ktlint.internal,KtlintReportGenerator.generatorReport.1.2.1.new Function1() {...},0,67,1,1,0,6,1,2,0,2
ktlint Maven Plugin,com.github.gantsign.maven.plugin.ktlint.internal,KtlintReportGenerator.generatorReport.1.2.1.new Function1() {...},0,19,0,0,0,2,0,2,0,2
ktlint Maven Plugin,com.github.gantsign.maven.plugin.ktlint.internal,KtlintReportGenerator.sam.java_util_function_Function.new Function() {...},0,6,0,0,0,0,0,1,0,1
ktlint Maven Plugin,com.github.gantsign.maven.plugin.ktlint.internal,AbstractLintSupport,0,94,0,0,0,5,0,6,0,6
ktlint Maven Plugin,com.github.gantsign.maven.plugin.ktlint.internal,KtlintReportGenerator.generatorReport.1.new Function1() {...},0,25,0,0,0,2,0,2,0,2
ktlint Maven Plugin,com.github.gantsign.maven.plugin.ktlint.internal,KtlintReportGenerator.generatorReport.1.new Function1() {...},2,142,3,5,1,19,3,3,0,2
ktlint Maven Plugin,com.github.gantsign.maven.plugin.ktlint.internal,AbstractCheckSupport.reporter.ReporterTemplate,83,54,12,4,0,4,14,6,7,5
ktlint Maven Plugin,com.github.gantsign.maven.plugin.ktlint.internal,AbstractCheckSupport,108,635,22,43,11,94,23,16,2,4
ktlint Maven Plugin,com.github.gantsign.maven.plugin.ktlint.internal,KtlintReportGenerator.generatorReport.1.2.3.2.1.2.1.new Function1() {...},0,20,0,0,0,2,0,2,0,2
ktlint Maven Plugin,com.github.gantsign.maven.plugin.ktlint.internal,KtlintReportGenerator.generatorReport.1.2.4.3.1.new Function1() {...},0,89,0,0,0,4,0,2,0,2
ktlint Maven Plugin,com.github.gantsign.maven.plugin.ktlint.internal,KtlintReportGenerator.generatorReport.1.2.4.3.1.1.new Function1() {...},0,24,0,0,0,2,0,2,0,2
ktlint Maven Plugin,com.github.gantsign.maven.plugin.ktlint.internal,KtlintReportGenerator.generatorReport.1.2.4.3.1.1.new Function1() {...},0,24,0,0,0,2,0,2,0,2
ktlint Maven Plugin,com.github.gantsign.maven.plugin.ktlint.internal,KtlintReportGenerator.generatorReport.1.2.4.3.1.1.new Function1() {...},0,24,0,0,0,2,0,2,0,2
ktlint Maven Plugin,com.github.gantsign.maven.plugin.ktlint.internal,KtlintReportGenerator.generatorReport.1.2.new Function1() {...},0,41,0,0,0,3,0,2,0,2
ktlint Maven Plugin,com.github.gantsign.maven.plugin.ktlint.internal,FunctionsKt,1,18,1,1,0,1,1,1,0,1
ktlint Maven Plugin,com.github.gantsign.maven.plugin.ktlint.internal,KtlintReportGenerator.generatorReport.1.2.4.3.1.new Function1() {...},0,89,0,0,0,4,0,2,0,2
ktlint Maven Plugin,com.github.gantsign.maven.plugin.ktlint.internal,MavenLogReporter.Companion,0,2,0,0,0,1,0,1,0,1
